record_id,farmer_id,county,sub_county,farm_area_ha,crop_primary,crop_secondary,rain_mm_gs,eo_ndvi_gs,irrigated,soil_quality_index,input_cost_kes,sales_kes,yield_t_ha,mpesa_txn_count_90d,mpesa_inflow_kes_90d,prior_default,processor_contract,insured,agritech_score,gov_subsidy,loan_amount_kes,tenor_months,interest_rate_pct,climate_risk_index,risk_score_internal,default_or_claim,split
rec_0000000,farmer_0298163,Tana River,,1.364,maize,,1435.3,0.687,False,0.57,30435.0,170080.0,4.0,33,209686.0,False,False,False,0.811,True,82438.0,3,16.16,0.129,0.219,False,test
rec_0000001,farmer_1069687,Mandera,,1.329,maize,,1103.0,0.622,False,0.611,50329.0,184017.0,3.923,28,10055.0,False,False,False,0.697,False,124989.0,24,15.06,0.234,0.401,False,train
rec_0000002,farmer_1037628,Kilifi,,6.251,potato,sugarcane,891.3,0.587,False,0.687,219175.0,2697921.0,17.866,41,0,False,False,False,0.451,False,894702.0,3,17.95,0.634,0.023,False,train
rec_0000003,farmer_1455856,Siaya,,2.165,dairy-fodder,sugarcane,635.7,0.551,True,0.54,63921.0,818492.0,13.877,0,118582.0,False,False,False,0.558,True,368478.0,12,13.72,0.689,0.204,False,train
rec_0000004,farmer_1121810,Siaya,,1.053,sorghum,tea,538.9,0.328,False,0.377,30768.0,55390.0,1.56,55,264855.0,True,False,False,0.632,False,10000,12,10.61,0.689,0.688,False,train
rec_0000005,farmer_0471659,Kiambu,,2.674,sorghum,,826.8,0.39,False,0.41,111305.0,187847.0,2.048,41,73043.0,True,False,False,0.728,False,121368.0,18,21.58,0.947,0.654,False,train
rec_0000006,farmer_0835414,Kakamega,,1.683,sugarcane,beans,522.5,0.482,True,0.568,65018.0,486797.0,62.944,36,89003.0,False,True,False,0.576,False,213297.0,12,13.39,0.958,0.284,False,train
rec_0000007,farmer_0941720,Kwale,,0.501,wheat,,1062.0,0.774,False,0.704,21666.0,74543.0,3.5,18,0,False,True,False,0.661,False,30710.0,9,14.35,0.136,0.322,False,train
rec_0000008,farmer_1481306,Kiambu,,3.476,dairy-fodder,,845.5,0.23,False,0.474,118407.0,1559367.0,16.213,50,70273.0,False,False,True,0.747,False,541891.0,12,16.27,0.947,0.122,False,train
rec_0000009,farmer_0971834,Murang'a,,0.413,millet,,580.2,0.59,False,0.366,23536.0,12060.0,1.124,59,77462.0,False,False,False,0.569,False,10000,18,24.96,0.827,0.658,False,train
rec_0000010,farmer_1837656,Narok,,3.13,wheat,,1050.5,0.746,False,0.67,98625.0,350805.0,3.276,55,46665.0,False,True,False,0.561,False,216380.0,9,14.61,0.28,0.147,False,train
rec_0000011,farmer_0436575,Baringo,,1.404,maize,,892.3,0.679,False,0.711,53011.0,148168.0,3.116,24,199165.0,False,False,True,0.633,False,176125.0,3,13.3,0.155,0.254,False,train
